2026-07-12 00:51:13.523 UTC [16624] 日志:  checkpoint starting: time
2026-07-12 00:51:18.853 UTC [16624] 日志:  checkpoint complete: wrote 53 buffers (0.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=5.329 s, sync=0.001 s, total=5.330 s; sync files=0, longest=0.000 s, average=0.000 s; distance=249 kB, estimate=3961 kB; lsn=0/E0416D8, redo lsn=0/E041648
2026-07-12 01:21:13.856 UTC [16624] 日志:  checkpoint starting: time
2026-07-12 01:21:54.074 UTC [16624] 日志:  checkpoint complete: wrote 401 buffers (1.2%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=40.218 s, sync=0.001 s, total=40.219 s; sync files=0, longest=0.000 s, average=0.000 s; distance=2548 kB, estimate=3819 kB; lsn=0/E2BE988, redo lsn=0/E2BE8F8
2026-07-12 01:26:13.077 UTC [16624] 日志:  checkpoint starting: time
2026-07-12 01:26:56.408 UTC [16624] 日志:  checkpoint complete: wrote 431 buffers (1.3%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=43.329 s, sync=0.001 s, total=43.331 s; sync files=0, longest=0.000 s, average=0.000 s; distance=2627 kB, estimate=3700 kB; lsn=0/E667458, redo lsn=0/E54F5F8
2026-07-12 01:31:13.410 UTC [16624] 日志:  checkpoint starting: time
2026-07-12 01:31:32.517 UTC [16624] 日志:  checkpoint complete: wrote 190 buffers (0.6%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=19.106 s, sync=0.001 s, total=19.107 s; sync files=0, longest=0.000 s, average=0.000 s; distance=1234 kB, estimate=3454 kB; lsn=0/E6840A8, redo lsn=0/E684018
2026-07-12 01:51:13.519 UTC [16624] 日志:  checkpoint starting: time
2026-07-12 01:51:18.347 UTC [16624] 日志:  checkpoint complete: wrote 48 buffers (0.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=4.827 s, sync=0.001 s, total=4.828 s; sync files=0, longest=0.000 s, average=0.000 s; distance=494 kB, estimate=3158 kB; lsn=0/E6FFC08, redo lsn=0/E6FFB78
2026-07-12 02:51:14.873 UTC [16624] 日志:  checkpoint starting: time
2026-07-12 02:51:16.082 UTC [16624] 日志:  checkpoint complete: wrote 12 buffers (0.0%), wrote 0 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=1.207 s, sync=0.001 s, total=1.209 s; sync files=0, longest=0.000 s, average=0.000 s; distance=34 kB, estimate=2845 kB; lsn=0/E7086B0, redo lsn=0/E708658
2026-07-12 07:11:14.107 UTC [16624] 日志:  checkpoint starting: time
2026-07-12 07:11:14.750 UTC [16624] 日志:  checkpoint complete: wrote 6 buffers (0.0%), wrote 0 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=0.603 s, sync=0.001 s, total=0.644 s; sync files=0, longest=0.000 s, average=0.000 s; distance=33 kB, estimate=2564 kB; lsn=0/E710B38, redo lsn=0/E710AE0
2026-07-12 07:16:14.751 UTC [16624] 日志:  checkpoint starting: time
2026-07-12 07:17:23.725 UTC [16624] 日志:  checkpoint complete: wrote 687 buffers (2.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=68.971 s, sync=0.001 s, total=68.974 s; sync files=0, longest=0.000 s, average=0.000 s; distance=5028 kB, estimate=5028 kB; lsn=0/EBFD0D0, redo lsn=0/EBF9DC8
2026-07-12 07:21:14.726 UTC [16624] 日志:  checkpoint starting: time
2026-07-12 07:21:50.318 UTC [16624] 日志:  checkpoint complete: wrote 354 buffers (1.1%), wrote 1 SLRU buffers; 0 WAL file(s) added, 0 removed, 0 recycled; write=35.591 s, sync=0.001 s, total=35.592 s; sync files=0, longest=0.000 s, average=0.000 s; distance=2120 kB, estimate=4737 kB; lsn=0/EE0C248, redo lsn=0/EE0C1B8
2026-07-12 07:22:04.126 UTC [22224] 鏃ュ織:  鏃犳硶浠庡鎴风鑾峰緱鏁版嵁: An existing connection was forcibly closed by the remote host.
	
2026-07-12 07:22:04.126 UTC [28784] 鏃ュ織:  鏃犳硶浠庡鎴风鑾峰緱鏁版嵁: An existing connection was forcibly closed by the remote host.
	
2026-07-12 07:22:04.126 UTC [4868] 鏃ュ織:  鏃犳硶浠庡鎴风鑾峰緱鏁版嵁: An existing connection was forcibly closed by the remote host.
	
